                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.91801,                 1.5875,                0.78466,                 1.2776,                0.64693,                0.11585,                0.10073,                0.03348,                0.61115,                0.09146,                0.05236,                0.01718,                 2.2959,                 5.0844,                 3.5405,                 2.8236,              0.0012874,              0.0012874,              0.0012874
                     25,                0.90631,                 1.7026,                 0.7594,                 1.2887,                0.61332,                0.12805,                0.07668,                0.03153,                 0.6136,                0.11115,                 0.0631,                 0.0218,                 2.2931,                 5.3659,                 3.4947,                  2.774,              0.0012709,              0.0012709,              0.0012709
                     26,                0.89167,                 1.6299,                0.79595,                 1.2402,                0.60258,                0.14634,                0.12523,                0.03851,                  0.568,                0.10174,                0.06372,                0.02092,                 2.0146,                 5.5341,                 3.4871,                  2.454,              0.0012544,              0.0012544,              0.0012544
                     27,                0.86767,                 1.5846,                0.72837,                 1.2319,                0.59831,                0.10366,                0.06756,                 0.0256,                0.58111,                0.08537,                0.04799,                0.01497,                  2.345,                 5.1883,                 3.5506,                 2.7074,              0.0012379,              0.0012379,              0.0012379
                     28,                0.82618,                 1.5789,                0.76673,                 1.2194,                0.66368,                0.15244,                 0.0987,                0.03116,                0.62414,                0.11585,                0.05062,                0.01544,                 2.2471,                 5.5317,                 3.2601,                 2.6779,              0.0012214,              0.0012214,              0.0012214
                     29,                0.84691,                 1.5889,                0.73178,                 1.2246,                0.62032,                0.15244,                0.08891,                0.02926,                0.59113,                0.11585,                0.04828,                0.01657,                 2.2154,                  5.748,                 3.3936,                 2.6916,              0.0012049,              0.0012049,              0.0012049
                     30,                0.85305,                 1.6114,                0.76125,                 1.2255,                0.67711,                0.12805,                0.09872,                0.02924,                0.63869,                0.09756,                0.07689,                0.02276,                  2.258,                 5.4107,                 3.4647,                 2.7642,              0.0011884,              0.0011884,              0.0011884
                     31,                0.82054,                 1.5413,                0.72459,                 1.2133,                0.72173,                0.13415,                0.11193,                0.03954,                 0.6268,                0.12195,                0.06129,                0.02219,                 2.3329,                  5.099,                 3.2145,                 2.6905,              0.0011719,              0.0011719,              0.0011719
                     32,                0.79227,                 1.5141,                0.72022,                 1.2028,                0.67351,                0.12195,                 0.0986,                0.02594,                0.63969,                0.09146,                0.05733,                0.01888,                  2.463,                 5.6156,                   3.33,                 2.9937,              0.0011554,              0.0011554,              0.0011554
                     33,                0.84151,                 1.4837,                0.69675,                 1.2197,                0.67965,                0.13337,                0.12683,                0.04247,                0.63263,                0.09756,                0.06636,                0.01885,                 2.2483,                  5.754,                 3.3814,                  2.629,              0.0011389,              0.0011389,              0.0011389
                     34,                0.82586,                 1.4988,                0.69252,                 1.1992,                0.63232,                0.09146,                0.09522,                0.02969,                0.59688,                0.11585,                0.06763,                0.02185,                 2.3694,                 5.1843,                 3.4363,                 2.7904,              0.0011224,              0.0011224,              0.0011224
                     35,                0.83303,                 1.4774,                0.70794,                 1.2168,                0.68547,                0.13305,                0.12365,                0.03432,                0.62168,                0.09146,                0.07074,                0.02166,                 2.2703,                 5.4479,                 3.3768,                 2.6454,              0.0011059,              0.0011059,              0.0011059
                     36,                0.81822,                 1.5069,                0.70113,                 1.2125,                0.63733,                0.16463,                0.13238,                0.04075,                0.60789,                0.10976,                0.07955,                0.02747,                 2.2165,                 5.2924,                 3.3142,                  2.562,              0.0010894,              0.0010894,              0.0010894
                     37,                 0.8053,                 1.5005,                0.68355,                 1.1863,                0.27076,                 0.1917,                 0.1517,                0.05519,                0.19847,                0.13072,                0.08922,                0.02872,                 2.1036,                 5.3324,                 3.1907,                 2.4901,              0.0010729,              0.0010729,              0.0010729
                     38,                0.77716,                 1.4264,                0.64699,                 1.1753,                 0.6725,                0.14634,                0.12736,                0.04559,                0.62941,                0.10976,                0.07547,                0.02814,                 2.1577,                 5.6247,                 3.3259,                 2.5585,              0.0010564,              0.0010564,              0.0010564
